year,run_name,component,variable,value
1952,rcp85,temperature,Tgav,0.20455
1953,rcp85,temperature,Tgav,0.31605
1954,rcp85,temperature,Tgav,0.33695
1955,rcp85,temperature,Tgav,0.37677
1956,rcp85,temperature,Tgav,0.32575
1957,rcp85,temperature,Tgav,0.36425
1958,rcp85,temperature,Tgav,0.38229
1959,rcp85,temperature,Tgav,0.37211
1960,rcp85,temperature,Tgav,0.31757
1961,rcp85,temperature,Tgav,0.33681
1962,rcp85,temperature,Tgav,0.32315
1963,rcp85,temperature,Tgav,0.20105
1964,rcp85,temperature,Tgav,0.15245
1965,rcp85,temperature,Tgav,0.20785
1966,rcp85,temperature,Tgav,0.25025
1967,rcp85,temperature,Tgav,0.23225
1968,rcp85,temperature,Tgav,0.29295
1969,rcp85,temperature,Tgav,0.26115
1970,rcp85,temperature,Tgav,0.25431
1971,rcp85,temperature,Tgav,0.29113
1972,rcp85,temperature,Tgav,0.34851
1973,rcp85,temperature,Tgav,0.35725
1974,rcp85,temperature,Tgav,0.35673
1975,rcp85,temperature,Tgav,0.27997
1976,rcp85,temperature,Tgav,0.27579
1977,rcp85,temperature,Tgav,0.37869
1978,rcp85,temperature,Tgav,0.37169
1979,rcp85,temperature,Tgav,0.41277
1980,rcp85,temperature,Tgav,0.45425
1981,rcp85,temperature,Tgav,0.46419
1982,rcp85,temperature,Tgav,0.41283
1983,rcp85,temperature,Tgav,0.42875
1984,rcp85,temperature,Tgav,0.36905
1985,rcp85,temperature,Tgav,0.45877
1986,rcp85,temperature,Tgav,0.48445
1987,rcp85,temperature,Tgav,0.48329
1988,rcp85,temperature,Tgav,0.50071
1989,rcp85,temperature,Tgav,0.55975
1990,rcp85,temperature,Tgav,0.62785
1991,rcp85,temperature,Tgav,0.61743
1992,rcp85,temperature,Tgav,0.37335
1993,rcp85,temperature,Tgav,0.42351
1994,rcp85,temperature,Tgav,0.49489
1995,rcp85,temperature,Tgav,0.55567
1996,rcp85,temperature,Tgav,0.56388
1997,rcp85,temperature,Tgav,0.65315
1998,rcp85,temperature,Tgav,0.71887
1999,rcp85,temperature,Tgav,0.7155
2000,rcp85,temperature,Tgav,0.76182
2001,rcp85,temperature,Tgav,0.93257
2002,rcp85,temperature,Tgav,1.00161
2003,rcp85,temperature,Tgav,0.92459
2004,rcp85,temperature,Tgav,0.91
2005,rcp85,temperature,Tgav,1.00519
2006,rcp85,temperature,Tgav,0.88445
2007,rcp85,temperature,Tgav,1.04625
2008,rcp85,temperature,Tgav,1.14785
2009,rcp85,temperature,Tgav,1.01155
2010,rcp85,temperature,Tgav,0.93265
2011,rcp85,temperature,Tgav,0.96885
2012,rcp85,temperature,Tgav,1.15735
2013,rcp85,temperature,Tgav,1.10605
2014,rcp85,temperature,Tgav,1.02255
2015,rcp85,temperature,Tgav,1.24305
2016,rcp85,temperature,Tgav,1.37145
2017,rcp85,temperature,Tgav,1.26995
2018,rcp85,temperature,Tgav,1.40645
2019,rcp85,temperature,Tgav,1.51285
2020,rcp85,temperature,Tgav,1.51645
2021,rcp85,temperature,Tgav,1.638175
2022,rcp85,temperature,Tgav,1.62645
2023,rcp85,temperature,Tgav,1.60845
2024,rcp85,temperature,Tgav,1.632825
2025,rcp85,temperature,Tgav,1.70625
2026,rcp85,temperature,Tgav,1.79195
2027,rcp85,temperature,Tgav,1.838875
2028,rcp85,temperature,Tgav,1.868325
2029,rcp85,temperature,Tgav,1.88765
2030,rcp85,temperature,Tgav,1.94825
2031,rcp85,temperature,Tgav,1.9728
2032,rcp85,temperature,Tgav,1.99325
2033,rcp85,temperature,Tgav,2.07585
2034,rcp85,temperature,Tgav,2.104925
2035,rcp85,temperature,Tgav,2.174525
2036,rcp85,temperature,Tgav,2.19345
2037,rcp85,temperature,Tgav,2.24965
2038,rcp85,temperature,Tgav,2.28165
2039,rcp85,temperature,Tgav,2.410325
2040,rcp85,temperature,Tgav,2.421125
2041,rcp85,temperature,Tgav,2.39595
2042,rcp85,temperature,Tgav,2.38175
2043,rcp85,temperature,Tgav,2.40985
2044,rcp85,temperature,Tgav,2.53375
2045,rcp85,temperature,Tgav,2.58275
2046,rcp85,temperature,Tgav,2.53315
2047,rcp85,temperature,Tgav,2.46595
2048,rcp85,temperature,Tgav,2.54195
2049,rcp85,temperature,Tgav,2.75005
2050,rcp85,temperature,Tgav,2.76855
2051,rcp85,temperature,Tgav,2.67225
2052,rcp85,temperature,Tgav,2.71815
2053,rcp85,temperature,Tgav,2.89545
2054,rcp85,temperature,Tgav,2.95645
2055,rcp85,temperature,Tgav,2.99525
2056,rcp85,temperature,Tgav,2.95655
2057,rcp85,temperature,Tgav,3.15335
2058,rcp85,temperature,Tgav,3.21535
2059,rcp85,temperature,Tgav,3.10985
2060,rcp85,temperature,Tgav,3.18955
2061,rcp85,temperature,Tgav,3.19905
2062,rcp85,temperature,Tgav,3.22985
2063,rcp85,temperature,Tgav,3.26345
2064,rcp85,temperature,Tgav,3.32725
2065,rcp85,temperature,Tgav,3.51935
2066,rcp85,temperature,Tgav,3.54595
2067,rcp85,temperature,Tgav,3.45695
2068,rcp85,temperature,Tgav,3.44205
2069,rcp85,temperature,Tgav,3.54785
2070,rcp85,temperature,Tgav,3.66765
2071,rcp85,temperature,Tgav,3.74035
2072,rcp85,temperature,Tgav,3.70615
2073,rcp85,temperature,Tgav,3.78005
2074,rcp85,temperature,Tgav,3.80905
2075,rcp85,temperature,Tgav,3.92675
2076,rcp85,temperature,Tgav,3.82075
2077,rcp85,temperature,Tgav,3.89825
2078,rcp85,temperature,Tgav,4.00955
2079,rcp85,temperature,Tgav,4.00065
2080,rcp85,temperature,Tgav,4.21785
2081,rcp85,temperature,Tgav,4.27335
2082,rcp85,temperature,Tgav,4.28915
2083,rcp85,temperature,Tgav,4.22455
2084,rcp85,temperature,Tgav,4.19565
2085,rcp85,temperature,Tgav,4.30235
2086,rcp85,temperature,Tgav,4.34185
2087,rcp85,temperature,Tgav,4.48365
2088,rcp85,temperature,Tgav,4.55695
2089,rcp85,temperature,Tgav,4.51025
2090,rcp85,temperature,Tgav,4.51105
2091,rcp85,temperature,Tgav,4.68015
2092,rcp85,temperature,Tgav,4.74405
2093,rcp85,temperature,Tgav,4.66685
2094,rcp85,temperature,Tgav,4.68585
2095,rcp85,temperature,Tgav,4.81135
2096,rcp85,temperature,Tgav,4.85485
2097,rcp85,temperature,Tgav,4.81685
2098,rcp85,temperature,Tgav,4.87085
2099,rcp85,temperature,Tgav,4.91825
2100,rcp85,temperature,Tgav,4.99485
2101,rcp85,temperature,Tgav,5.29135
2102,rcp85,temperature,Tgav,5.29805
2103,rcp85,temperature,Tgav,5.32415
2104,rcp85,temperature,Tgav,5.44785
2105,rcp85,temperature,Tgav,5.46465
2106,rcp85,temperature,Tgav,5.70685
2107,rcp85,temperature,Tgav,5.59295
2108,rcp85,temperature,Tgav,5.58055
2109,rcp85,temperature,Tgav,5.58935
2110,rcp85,temperature,Tgav,5.63555
2111,rcp85,temperature,Tgav,5.74575
2112,rcp85,temperature,Tgav,5.76665
2113,rcp85,temperature,Tgav,5.61495
2114,rcp85,temperature,Tgav,5.78635
2115,rcp85,temperature,Tgav,5.79585
2116,rcp85,temperature,Tgav,5.75815
2117,rcp85,temperature,Tgav,5.85585
2118,rcp85,temperature,Tgav,5.98175
2119,rcp85,temperature,Tgav,6.00585
2120,rcp85,temperature,Tgav,6.06485
2121,rcp85,temperature,Tgav,6.10425
2122,rcp85,temperature,Tgav,6.17955
2123,rcp85,temperature,Tgav,6.11845
2124,rcp85,temperature,Tgav,6.22515
2125,rcp85,temperature,Tgav,6.30905
2126,rcp85,temperature,Tgav,6.31635
2127,rcp85,temperature,Tgav,6.40375
2128,rcp85,temperature,Tgav,6.39035
2129,rcp85,temperature,Tgav,6.42165
2130,rcp85,temperature,Tgav,6.52755
2131,rcp85,temperature,Tgav,6.40615
2132,rcp85,temperature,Tgav,6.51125
2133,rcp85,temperature,Tgav,6.55305
2134,rcp85,temperature,Tgav,6.52515
2135,rcp85,temperature,Tgav,6.58675
2136,rcp85,temperature,Tgav,6.49755
2137,rcp85,temperature,Tgav,6.57735
2138,rcp85,temperature,Tgav,6.77145
2139,rcp85,temperature,Tgav,6.86445
2140,rcp85,temperature,Tgav,6.79855
2141,rcp85,temperature,Tgav,6.87025
2142,rcp85,temperature,Tgav,6.74925
2143,rcp85,temperature,Tgav,6.84455
2144,rcp85,temperature,Tgav,6.84865
2145,rcp85,temperature,Tgav,6.84355
2146,rcp85,temperature,Tgav,7.01495
2147,rcp85,temperature,Tgav,7.10915
2148,rcp85,temperature,Tgav,7.28075
2149,rcp85,temperature,Tgav,7.20615
2150,rcp85,temperature,Tgav,7.37825
2151,rcp85,temperature,Tgav,7.41965
2152,rcp85,temperature,Tgav,7.25155
2153,rcp85,temperature,Tgav,7.45025
2154,rcp85,temperature,Tgav,7.50985
2155,rcp85,temperature,Tgav,7.54515
2156,rcp85,temperature,Tgav,7.64255
2157,rcp85,temperature,Tgav,7.69255
2158,rcp85,temperature,Tgav,7.54485
2159,rcp85,temperature,Tgav,7.72355
2160,rcp85,temperature,Tgav,7.85265
2161,rcp85,temperature,Tgav,7.73045
2162,rcp85,temperature,Tgav,7.87565
2163,rcp85,temperature,Tgav,7.84975
2164,rcp85,temperature,Tgav,7.89635
2165,rcp85,temperature,Tgav,8.16585
2166,rcp85,temperature,Tgav,8.15575
2167,rcp85,temperature,Tgav,7.99465
2168,rcp85,temperature,Tgav,8.02945
2169,rcp85,temperature,Tgav,8.26905
2170,rcp85,temperature,Tgav,8.24795
2171,rcp85,temperature,Tgav,8.37855
2172,rcp85,temperature,Tgav,8.31155
2173,rcp85,temperature,Tgav,8.14065
2174,rcp85,temperature,Tgav,8.24275
2175,rcp85,temperature,Tgav,8.41035
2176,rcp85,temperature,Tgav,8.46235
2177,rcp85,temperature,Tgav,8.47995
2178,rcp85,temperature,Tgav,8.63295
2179,rcp85,temperature,Tgav,8.58495
2180,rcp85,temperature,Tgav,8.67525
2181,rcp85,temperature,Tgav,8.68705
2182,rcp85,temperature,Tgav,8.61335
2183,rcp85,temperature,Tgav,8.71375
2184,rcp85,temperature,Tgav,8.73775
2185,rcp85,temperature,Tgav,8.60675
2186,rcp85,temperature,Tgav,8.77555
2187,rcp85,temperature,Tgav,8.76705
2188,rcp85,temperature,Tgav,8.80785
2189,rcp85,temperature,Tgav,8.76755
2190,rcp85,temperature,Tgav,9.06895
2191,rcp85,temperature,Tgav,9.03965
2192,rcp85,temperature,Tgav,8.90195
2193,rcp85,temperature,Tgav,9.05135
2194,rcp85,temperature,Tgav,9.02195
2195,rcp85,temperature,Tgav,9.14745
2196,rcp85,temperature,Tgav,9.11725
2197,rcp85,temperature,Tgav,9.25405
2198,rcp85,temperature,Tgav,9.32965
2199,rcp85,temperature,Tgav,9.46995
2200,rcp85,temperature,Tgav,9.49175
2201,rcp85,temperature,Tgav,9.44135
2202,rcp85,temperature,Tgav,9.44905
2203,rcp85,temperature,Tgav,9.51325
2204,rcp85,temperature,Tgav,9.50195
2205,rcp85,temperature,Tgav,9.53305
2206,rcp85,temperature,Tgav,9.57025
2207,rcp85,temperature,Tgav,9.51115
2208,rcp85,temperature,Tgav,9.38785
2209,rcp85,temperature,Tgav,9.67285
2210,rcp85,temperature,Tgav,9.66455
2211,rcp85,temperature,Tgav,9.63165
2212,rcp85,temperature,Tgav,9.52895
2213,rcp85,temperature,Tgav,9.63545
2214,rcp85,temperature,Tgav,9.84185
2215,rcp85,temperature,Tgav,10.00085
2216,rcp85,temperature,Tgav,9.95415
2217,rcp85,temperature,Tgav,9.90065
2218,rcp85,temperature,Tgav,10.03085
2219,rcp85,temperature,Tgav,10.05865
2220,rcp85,temperature,Tgav,9.86885
2221,rcp85,temperature,Tgav,9.88755
2222,rcp85,temperature,Tgav,10.03245
2223,rcp85,temperature,Tgav,10.16355
2224,rcp85,temperature,Tgav,10.08865
2225,rcp85,temperature,Tgav,10.05345
2226,rcp85,temperature,Tgav,10.14775
2227,rcp85,temperature,Tgav,10.27975
2228,rcp85,temperature,Tgav,10.23945
2229,rcp85,temperature,Tgav,10.24945
2230,rcp85,temperature,Tgav,10.25125
2231,rcp85,temperature,Tgav,10.41305
2232,rcp85,temperature,Tgav,10.56035
2233,rcp85,temperature,Tgav,10.45405
2234,rcp85,temperature,Tgav,10.50715
2235,rcp85,temperature,Tgav,10.60925
2236,rcp85,temperature,Tgav,10.42205
2237,rcp85,temperature,Tgav,10.35565
2238,rcp85,temperature,Tgav,10.30375
2239,rcp85,temperature,Tgav,10.51985
2240,rcp85,temperature,Tgav,10.56435
2241,rcp85,temperature,Tgav,10.52455
2242,rcp85,temperature,Tgav,10.65905
2243,rcp85,temperature,Tgav,10.56555
2244,rcp85,temperature,Tgav,10.69525
2245,rcp85,temperature,Tgav,10.81055
2246,rcp85,temperature,Tgav,10.74115
2247,rcp85,temperature,Tgav,10.54135
2248,rcp85,temperature,Tgav,10.68705
2249,rcp85,temperature,Tgav,10.84065
2250,rcp85,temperature,Tgav,10.88335
2251,rcp85,temperature,Tgav,10.95255
2252,rcp85,temperature,Tgav,10.99195
2253,rcp85,temperature,Tgav,10.84765
2254,rcp85,temperature,Tgav,10.89675
2255,rcp85,temperature,Tgav,10.99225
2256,rcp85,temperature,Tgav,11.04375
2257,rcp85,temperature,Tgav,11.02475
2258,rcp85,temperature,Tgav,11.03145
2259,rcp85,temperature,Tgav,10.95395
2260,rcp85,temperature,Tgav,10.98395
2261,rcp85,temperature,Tgav,11.07845
2262,rcp85,temperature,Tgav,11.19315
2263,rcp85,temperature,Tgav,11.12715
2264,rcp85,temperature,Tgav,11.06475
2265,rcp85,temperature,Tgav,10.90435
2266,rcp85,temperature,Tgav,11.17765
2267,rcp85,temperature,Tgav,11.37355
2268,rcp85,temperature,Tgav,11.23605
2269,rcp85,temperature,Tgav,11.13885
2270,rcp85,temperature,Tgav,11.23615
2271,rcp85,temperature,Tgav,11.38375
2272,rcp85,temperature,Tgav,11.25545
2273,rcp85,temperature,Tgav,11.33345
2274,rcp85,temperature,Tgav,11.29725
2275,rcp85,temperature,Tgav,11.31025
2276,rcp85,temperature,Tgav,11.36275
2277,rcp85,temperature,Tgav,11.30525
2278,rcp85,temperature,Tgav,11.27505
2279,rcp85,temperature,Tgav,11.17135
2280,rcp85,temperature,Tgav,11.14475
2281,rcp85,temperature,Tgav,11.15325
2282,rcp85,temperature,Tgav,11.37695
2283,rcp85,temperature,Tgav,11.32235
2284,rcp85,temperature,Tgav,11.23685
2285,rcp85,temperature,Tgav,11.43385
2286,rcp85,temperature,Tgav,11.35285
2287,rcp85,temperature,Tgav,11.28735
2288,rcp85,temperature,Tgav,11.51205
2289,rcp85,temperature,Tgav,11.61185
2290,rcp85,temperature,Tgav,11.39245
2291,rcp85,temperature,Tgav,11.50435
2292,rcp85,temperature,Tgav,11.50115
2293,rcp85,temperature,Tgav,11.41625
2294,rcp85,temperature,Tgav,11.50725
2295,rcp85,temperature,Tgav,11.55875
2296,rcp85,temperature,Tgav,11.56135
2297,rcp85,temperature,Tgav,11.59545
2298,rcp85,temperature,Tgav,11.59405
2299,rcp85,temperature,Tgav,11.56405
2300,rcp85,temperature,Tgav,10.57365
1765,rcp60,temperature,Tgav,
1766,rcp60,temperature,Tgav,
1767,rcp60,temperature,Tgav,
1768,rcp60,temperature,Tgav,
1769,rcp60,temperature,Tgav,
1770,rcp60,temperature,Tgav,
1771,rcp60,temperature,Tgav,
1772,rcp60,temperature,Tgav,
1773,rcp60,temperature,Tgav,
1774,rcp60,temperature,Tgav,
1775,rcp60,temperature,Tgav,
1776,rcp60,temperature,Tgav,
1777,rcp60,temperature,Tgav,
1778,rcp60,temperature,Tgav,
1779,rcp60,temperature,Tgav,
1780,rcp60,temperature,Tgav,
1781,rcp60,temperature,Tgav,
1782,rcp60,temperature,Tgav,
1783,rcp60,temperature,Tgav,
1784,rcp60,temperature,Tgav,
1785,rcp60,temperature,Tgav,
1786,rcp60,temperature,Tgav,
1787,rcp60,temperature,Tgav,
1788,rcp60,temperature,Tgav,
1789,rcp60,temperature,Tgav,
1790,rcp60,temperature,Tgav,
1791,rcp60,temperature,Tgav,
1792,rcp60,temperature,Tgav,
1793,rcp60,temperature,Tgav,
1794,rcp60,temperature,Tgav,
1795,rcp60,temperature,Tgav,
1796,rcp60,temperature,Tgav,
1797,rcp60,temperature,Tgav,
1798,rcp60,temperature,Tgav,
1799,rcp60,temperature,Tgav,
1800,rcp60,temperature,Tgav,
1801,rcp60,temperature,Tgav,
1802,rcp60,temperature,Tgav,
1803,rcp60,temperature,Tgav,
1804,rcp60,temperature,Tgav,
1805,rcp60,temperature,Tgav,
1806,rcp60,temperature,Tgav,
1807,rcp60,temperature,Tgav,
1808,rcp60,temperature,Tgav,
1809,rcp60,temperature,Tgav,
1810,rcp60,temperature,Tgav,
1811,rcp60,temperature,Tgav,
1812,rcp60,temperature,Tgav,
1813,rcp60,temperature,Tgav,
1814,rcp60,temperature,Tgav,
1815,rcp60,temperature,Tgav,
1816,rcp60,temperature,Tgav,
1817,rcp60,temperature,Tgav,
1818,rcp60,temperature,Tgav,
1819,rcp60,temperature,Tgav,
1820,rcp60,temperature,Tgav,
1821,rcp60,temperature,Tgav,
1822,rcp60,temperature,Tgav,
1823,rcp60,temperature,Tgav,
1824,rcp60,temperature,Tgav,
1825,rcp60,temperature,Tgav,
1826,rcp60,temperature,Tgav,
1827,rcp60,temperature,Tgav,
1828,rcp60,temperature,Tgav,
1829,rcp60,temperature,Tgav,
1830,rcp60,temperature,Tgav,
1831,rcp60,temperature,Tgav,
1832,rcp60,temperature,Tgav,
1833,rcp60,temperature,Tgav,
1834,rcp60,temperature,Tgav,
1835,rcp60,temperature,Tgav,
1836,rcp60,temperature,Tgav,
1837,rcp60,temperature,Tgav,
1838,rcp60,temperature,Tgav,
1839,rcp60,temperature,Tgav,
1840,rcp60,temperature,Tgav,
1841,rcp60,temperature,Tgav,
1842,rcp60,temperature,Tgav,
1843,rcp60,temperature,Tgav,
1844,rcp60,temperature,Tgav,
1845,rcp60,temperature,Tgav,
1846,rcp60,temperature,Tgav,
1847,rcp60,temperature,Tgav,
1848,rcp60,temperature,Tgav,
1849,rcp60,temperature,Tgav,
1850,rcp60,temperature,Tgav,0
1851,rcp60,temperature,Tgav,-0.01885
1852,rcp60,temperature,Tgav,-0.15205
1853,rcp60,temperature,Tgav,-0.05175
1854,rcp60,temperature,Tgav,-0.02675
1855,rcp60,temperature,Tgav,0.02535
1856,rcp60,temperature,Tgav,-0.0736
1857,rcp60,temperature,Tgav,-0.15615
1858,rcp60,temperature,Tgav,-0.09815
1859,rcp60,temperature,Tgav,-0.24755
1860,rcp60,temperature,Tgav,0.23645
1861,rcp60,temperature,Tgav,0.24915
1862,rcp60,temperature,Tgav,0.16835
1863,rcp60,temperature,Tgav,0.10915
1864,rcp60,temperature,Tgav,0.15835
1865,rcp60,temperature,Tgav,0.18235
1866,rcp60,temperature,Tgav,0.13245
1867,rcp60,temperature,Tgav,0.11745
1868,rcp60,temperature,Tgav,0.20879
1869,rcp60,temperature,Tgav,0.24035
1870,rcp60,temperature,Tgav,-0.01685
1871,rcp60,temperature,Tgav,0.13995
1872,rcp60,temperature,Tgav,0.28515
1873,rcp60,temperature,Tgav,0.03305
1874,rcp60,temperature,Tgav,0.12195
1875,rcp60,temperature,Tgav,0.23645
1876,rcp60,temperature,Tgav,0.27809
1877,rcp60,temperature,Tgav,0.30265
1878,rcp60,temperature,Tgav,0.24515
1879,rcp60,temperature,Tgav,0.25545
1880,rcp60,temperature,Tgav,0.11365
1881,rcp60,temperature,Tgav,0.22455
1882,rcp60,temperature,Tgav,0.25705
1883,rcp60,temperature,Tgav,0.07835
1884,rcp60,temperature,Tgav,-0.08301667
1885,rcp60,temperature,Tgav,-0.12175
1886,rcp60,temperature,Tgav,-0.09025
1887,rcp60,temperature,Tgav,-0.00595
1888,rcp60,temperature,Tgav,-0.01215
1889,rcp60,temperature,Tgav,0.07025
1890,rcp60,temperature,Tgav,0.07195
1891,rcp60,temperature,Tgav,0.04571
1892,rcp60,temperature,Tgav,0.08135
1893,rcp60,temperature,Tgav,0.07605
1894,rcp60,temperature,Tgav,0.09505
1895,rcp60,temperature,Tgav,0.15745
1896,rcp60,temperature,Tgav,0.07685
1897,rcp60,temperature,Tgav,0.24215
1898,rcp60,temperature,Tgav,0.21525
1899,rcp60,temperature,Tgav,0.22005
1900,rcp60,temperature,Tgav,0.20415
1901,rcp60,temperature,Tgav,0.14875
1902,rcp60,temperature,Tgav,0.17055
1903,rcp60,temperature,Tgav,-0.20875
1904,rcp60,temperature,Tgav,-0.12305
1905,rcp60,temperature,Tgav,-0.05125
1906,rcp60,temperature,Tgav,-0.16285
1907,rcp60,temperature,Tgav,-0.02615
1908,rcp60,temperature,Tgav,0.10375
1909,rcp60,temperature,Tgav,0.16895
1910,rcp60,temperature,Tgav,0.24685
1911,rcp60,temperature,Tgav,0.25417
1912,rcp60,temperature,Tgav,0.04105
1913,rcp60,temperature,Tgav,-0.08765
1914,rcp60,temperature,Tgav,0.13605
1915,rcp60,temperature,Tgav,0.22125
1916,rcp60,temperature,Tgav,0.23705
1917,rcp60,temperature,Tgav,0.28105
1918,rcp60,temperature,Tgav,0.23025
1919,rcp60,temperature,Tgav,0.10785
1920,rcp60,temperature,Tgav,0.17125
1921,rcp60,temperature,Tgav,0.16725
1922,rcp60,temperature,Tgav,0.03295
1923,rcp60,temperature,Tgav,0.28705
1924,rcp60,temperature,Tgav,0.28055
1925,rcp60,temperature,Tgav,0.16825
1926,rcp60,temperature,Tgav,0.21725
1927,rcp60,temperature,Tgav,0.18905
1928,rcp60,temperature,Tgav,0.30755
1929,rcp60,temperature,Tgav,0.20055
1930,rcp60,temperature,Tgav,0.07425
1931,rcp60,temperature,Tgav,0.27515
1932,rcp60,temperature,Tgav,0.25955
1933,rcp60,temperature,Tgav,0.34375
1934,rcp60,temperature,Tgav,0.39447
1935,rcp60,temperature,Tgav,0.27415
1936,rcp60,temperature,Tgav,0.28895
1937,rcp60,temperature,Tgav,0.33815
1938,rcp60,temperature,Tgav,0.34835
1939,rcp60,temperature,Tgav,0.27645
1940,rcp60,temperature,Tgav,0.38135
1941,rcp60,temperature,Tgav,0.46105
1942,rcp60,temperature,Tgav,0.41095
1943,rcp60,temperature,Tgav,0.39925
1944,rcp60,temperature,Tgav,0.44085
1945,rcp60,temperature,Tgav,0.30295
1946,rcp60,temperature,Tgav,0.34435
1947,rcp60,temperature,Tgav,0.39935
1948,rcp60,temperature,Tgav,0.40575
1949,rcp60,temperature,Tgav,0.57051
1950,rcp60,temperature,Tgav,0.50115
1951,rcp60,temperature,Tgav,0.41085
1952,rcp60,temperature,Tgav,0.20455
1953,rcp60,temperature,Tgav,0.31605
1954,rcp60,temperature,Tgav,0.33695
1955,rcp60,temperature,Tgav,0.37677
1956,rcp60,temperature,Tgav,0.32575
1957,rcp60,temperature,Tgav,0.36425
1958,rcp60,temperature,Tgav,0.38229
1959,rcp60,temperature,Tgav,0.37211
1960,rcp60,temperature,Tgav,0.31757
1961,rcp60,temperature,Tgav,0.33681
1962,rcp60,temperature,Tgav,0.32315
1963,rcp60,temperature,Tgav,0.20105
1964,rcp60,temperature,Tgav,0.15245
1965,rcp60,temperature,Tgav,0.20785
1966,rcp60,temperature,Tgav,0.25025
1967,rcp60,temperature,Tgav,0.23225
1968,rcp60,temperature,Tgav,0.29295
1969,rcp60,temperature,Tgav,0.26115
1970,rcp60,temperature,Tgav,0.25431
1971,rcp60,temperature,Tgav,0.29113
1972,rcp60,temperature,Tgav,0.34851
1973,rcp60,temperature,Tgav,0.35725
1974,rcp60,temperature,Tgav,0.35673
1975,rcp60,temperature,Tgav,0.27997
1976,rcp60,temperature,Tgav,0.27579
1977,rcp60,temperature,Tgav,0.37869
1978,rcp60,temperature,Tgav,0.37169
1979,rcp60,temperature,Tgav,0.41277
1980,rcp60,temperature,Tgav,0.45425
1981,rcp60,temperature,Tgav,0.46419
1982,rcp60,temperature,Tgav,0.41283
1983,rcp60,temperature,Tgav,0.42875
1984,rcp60,temperature,Tgav,0.36905
1985,rcp60,temperature,Tgav,0.45877
1986,rcp60,temperature,Tgav,0.48445
1987,rcp60,temperature,Tgav,0.48329
1988,rcp60,temperature,Tgav,0.50071
1989,rcp60,temperature,Tgav,0.55975
1990,rcp60,temperature,Tgav,0.62785
1991,rcp60,temperature,Tgav,0.61743
1992,rcp60,temperature,Tgav,0.37335
1993,rcp60,temperature,Tgav,0.42351
1994,rcp60,temperature,Tgav,0.49489
1995,rcp60,temperature,Tgav,0.55567
1996,rcp60,temperature,Tgav,0.56388
1997,rcp60,temperature,Tgav,0.65315
1998,rcp60,temperature,Tgav,0.71887
1999,rcp60,temperature,Tgav,0.7155
2000,rcp60,temperature,Tgav,0.76182
2001,rcp60,temperature,Tgav,0.93257
2002,rcp60,temperature,Tgav,1.00161
2003,rcp60,temperature,Tgav,0.92459
2004,rcp60,temperature,Tgav,0.91
2005,rcp60,temperature,Tgav,1.00519
2006,rcp60,temperature,Tgav,0.80705
2007,rcp60,temperature,Tgav,0.8337
2008,rcp60,temperature,Tgav,0.9254
2009,rcp60,temperature,Tgav,0.92235
2010,rcp60,temperature,Tgav,0.9916125
2011,rcp60,temperature,Tgav,0.927
2012,rcp60,temperature,Tgav,0.90355
2013,rcp60,temperature,Tgav,0.86545
2014,rcp60,temperature,Tgav,0.9548
2015,rcp60,temperature,Tgav,0.9939
2016,rcp60,temperature,Tgav,1.17425
2017,rcp60,temperature,Tgav,1.0738125
2018,rcp60,temperature,Tgav,1.061625
2019,rcp60,temperature,Tgav,1.0884
2020,rcp60,temperature,Tgav,1.141725
2021,rcp60,temperature,Tgav,1.2560375
2022,rcp60,temperature,Tgav,1.08515
2023,rcp60,temperature,Tgav,1.17805
2024,rcp60,temperature,Tgav,1.119
2025,rcp60,temperature,Tgav,1.0773
2026,rcp60,temperature,Tgav,1.14225
2027,rcp60,temperature,Tgav,1.20105
2028,rcp60,temperature,Tgav,1.3058
2029,rcp60,temperature,Tgav,1.2849
2030,rcp60,temperature,Tgav,1.2957625
2031,rcp60,temperature,Tgav,1.31095
2032,rcp60,temperature,Tgav,1.36545
2033,rcp60,temperature,Tgav,1.29805
2034,rcp60,temperature,Tgav,1.341
2035,rcp60,temperature,Tgav,1.37895
2036,rcp60,temperature,Tgav,1.425275
2037,rcp60,temperature,Tgav,1.4555125
2038,rcp60,temperature,Tgav,1.4538
2039,rcp60,temperature,Tgav,1.4842
2040,rcp60,temperature,Tgav,1.4924
2041,rcp60,temperature,Tgav,1.54475
2042,rcp60,temperature,Tgav,1.691175
2043,rcp60,temperature,Tgav,1.61035
2044,rcp60,temperature,Tgav,1.6779625
2045,rcp60,temperature,Tgav,1.74585
2046,rcp60,temperature,Tgav,1.8031
2047,rcp60,temperature,Tgav,1.758875
2048,rcp60,temperature,Tgav,1.6763625
2049,rcp60,temperature,Tgav,1.7324
2050,rcp60,temperature,Tgav,1.76835
2051,rcp60,temperature,Tgav,1.85775
2052,rcp60,temperature,Tgav,1.81985
2053,rcp60,temperature,Tgav,1.9306
2054,rcp60,temperature,Tgav,1.9015
2055,rcp60,temperature,Tgav,1.898975
2056,rcp60,temperature,Tgav,1.96668333
2057,rcp60,temperature,Tgav,1.91295
2058,rcp60,temperature,Tgav,2.05395
2059,rcp60,temperature,Tgav,2.0395
2060,rcp60,temperature,Tgav,2.10785
2061,rcp60,temperature,Tgav,2.07738333
2062,rcp60,temperature,Tgav,2.16041667
2063,rcp60,temperature,Tgav,2.09255
2064,rcp60,temperature,Tgav,2.124
2065,rcp60,temperature,Tgav,2.09165
